word,percentage_known,Prevalence,concreteness,AoA,valence,arousal,dominance
imperfect,1.00,2.42,2.18,6.00,4.10,5.05,4.48
imperial,0.99,2.17,2.52,10.00,4.50,4.67,4.79
imperialist,0.99,2.19,2.36,12.00,4.29,4.17,4.55
impersonal,0.99,2.19,1.69,8.00,3.85,4.21,4.79
impersonate,0.98,1.96,2.88,8.00,4.73,4.12,5.96
impertinence,0.96,1.75,2.28,12.00,4.37,3.35,5.60
impertinent,0.97,1.85,1.76,10.00,4.24,3.88,4.63
impervious,0.98,2.00,2.04,12.00,5.21,4.36,4.58
impetuous,0.93,1.48,1.73,14.00,4.55,4.39,4.77
implant,0.99,2.27,4.31,12.00,4.39,4.15,4.08
implement,0.99,2.26,2.33,8.00,5.05,3.82,6.95
implicate,0.99,2.10,1.68,12.00,4.48,4.35,4.38
implication,1.00,2.44,1.61,10.00,4.77,3.71,4.82
implore,0.98,2.06,1.61,13.00,4.47,4.57,4.61
implosion,0.98,2.02,3.36,10.00,3.32,5.82,3.46
imply,0.98,2.03,1.86,8.00,4.79,4.00,4.74
impolite,0.99,2.14,1.96,4.00,3.10,5.25,3.95
import,1.00,2.58,2.52,6.00,5.28,3.95,5.58
important,1.00,2.43,2.14,2.00,6.82,4.71,6.39
impose,1.00,2.43,1.93,8.00,3.86,4.89,5.38
imposition,0.97,1.84,1.68,10.00,3.35,3.76,3.88
impossibility,1.00,2.42,1.52,6.00,3.67,3.83,3.67
impossible,0.99,2.22,1.66,2.00,3.50,4.52,3.50
impostor,0.93,1.47,3.14,6.00,3.47,4.60,4.35
impotent,0.98,1.98,2.38,12.00,2.95,3.71,3.95
impound,0.98,1.89,3.89,12.00,2.68,4.23,3.08
impoverished,0.97,1.79,2.22,12.00,2.43,4.64,3.30
impractical,1.00,2.44,1.60,6.00,3.77,4.53,4.43
impregnable,0.96,1.67,2.52,12.00,4.68,3.95,5.61
impregnate,0.99,2.25,3.29,10.00,4.50,6.21,5.08
impress,1.00,2.35,2.07,6.00,6.25,4.82,6.62
impression,1.00,2.58,2.23,6.00,6.00,3.86,5.43
impressionable,0.99,2.19,1.40,10.00,5.40,4.00,5.19
impressive,1.00,2.58,2.07,6.00,7.05,4.10,6.08
imprint,0.98,2.05,3.96,8.00,5.24,2.43,5.32
imprison,0.98,1.89,3.35,4.00,2.48,4.70,3.42
imprisonment,1.00,2.44,3.46,6.00,3.10,5.14,2.93
improbable,0.99,2.23,1.85,8.00,4.05,3.95,4.78
impromptu,0.98,1.93,2.04,12.00,5.81,4.45,5.05
improper,0.99,2.19,1.69,6.00,3.55,4.80,4.59
impropriety,0.97,1.78,2.38,14.00,3.84,3.27,3.68
improve,0.99,2.19,1.82,4.00,6.14,4.61,6.04
improvement,0.99,2.18,2.60,4.00,6.53,4.95,6.60
improvise,0.99,2.24,2.07,13.00,5.78,4.15,5.88
impudence,0.90,1.26,1.55,12.00,4.85,3.95,4.59
impulse,1.00,2.34,2.52,8.00,5.16,5.33,4.74
impulsive,1.00,2.58,2.25,8.00,4.67,6.00,3.72
impure,0.99,2.18,2.00,6.00,3.68,4.38,5.30
inability,0.99,2.24,2.00,6.00,3.00,3.50,3.40
inaccessible,0.99,2.19,2.30,12.00,3.82,4.05,3.41
inaccurate,0.99,2.32,2.33,6.00,3.35,3.95,3.71
inactive,0.99,2.31,3.17,8.00,4.24,3.05,5.04
inadequate,0.99,2.25,1.96,8.00,2.57,4.30,3.71
inadmissible,0.95,1.58,1.96,12.00,3.57,4.19,3.21
inanimate,0.99,2.26,3.24,12.00,4.55,3.05,4.73
inappropriate,1.00,2.42,1.59,8.00,3.70,4.95,4.35
inaudible,0.99,2.17,2.29,10.00,3.61,3.33,4.26
inaugural,0.98,1.94,2.21,8.00,5.00,3.78,5.14
inbred,0.99,2.22,2.26,12.00,3.25,3.57,3.92
incantation,0.94,1.56,2.89,14.00,4.63,3.60,4.52
incapable,1.00,2.34,1.64,6.00,3.55,3.90,2.59
incarnate,0.99,2.18,2.11,10.00,4.62,4.70,4.83
incense,0.99,2.18,4.04,8.00,5.79,3.95,4.45
incentive,0.99,2.22,2.26,12.00,7.05,4.61,6.70
inception,0.99,2.25,1.78,14.00,5.68,5.73,4.59
incessant,0.95,1.64,2.42,13.00,3.21,4.71,3.55
incest,0.99,2.25,2.24,14.00,2.16,4.36,3.53
inch,1.00,2.58,4.37,2.00,5.40,3.29,4.46
incident,1.00,2.58,2.86,6.00,4.20,5.65,5.05
incidental,1.00,2.34,1.74,6.00,5.19,3.27,5.50
incinerator,0.98,2.00,4.78,6.00,3.20,5.67,4.18
incision,0.99,2.17,4.07,8.00,2.95,4.90,4.05
incite,0.98,1.93,2.47,8.00,4.76,4.77,5.67
inclination,0.98,1.92,2.03,8.00,4.89,4.10,5.10
inclined,0.99,2.10,2.64,8.00,4.95,3.79,5.37
include,1.00,2.58,2.48,4.00,6.39,3.05,5.84
incoherent,0.99,2.23,2.39,12.00,3.81,2.96,4.05
income,1.00,2.44,3.07,4.00,6.26,3.82,6.36
incoming,1.00,2.35,2.50,8.00,5.62,4.15,4.81
incomparable,1.00,2.33,1.48,6.00,4.71,3.00,4.18
incompatible,0.99,2.14,1.82,10.00,3.20,3.61,3.46
incompetent,1.00,2.33,2.03,8.00,2.77,4.50,2.81
incomplete,1.00,2.45,2.21,4.00,3.55,4.12,3.96
incomprehensible,0.99,2.33,1.33,10.00,3.48,5.00,3.72
inconceivable,0.98,2.04,1.38,10.00,5.05,4.41,4.47
inconclusive,1.00,2.43,1.50,13.00,3.79,4.05,4.20
inconsequential,0.99,2.06,1.56,13.00,3.74,3.15,4.40
inconsiderate,1.00,2.33,2.14,6.00,2.58,5.05,4.41
inconsistent,1.00,2.34,2.17,10.00,3.32,3.20,4.30
inconspicuous,0.99,2.08,2.07,10.00,5.05,3.55,5.67
inconvenience,1.00,2.43,1.73,8.00,3.05,6.26,3.60
inconvenient,0.99,2.07,1.46,10.00,2.73,4.83,3.79
incorporate,0.98,2.03,2.15,8.00,5.37,2.71,5.26
incorrect,0.99,2.17,2.07,4.00,3.09,3.62,4.62
incorrigible,0.93,1.46,2.11,13.00,4.00,4.78,4.12
increase,0.99,2.22,2.61,6.00,5.90,5.06,6.09
incredible,1.00,2.43,1.93,6.00,7.59,6.35,7.74
incriminate,0.98,2.01,2.07,8.00,2.84,5.95,3.75
incubation,0.98,1.96,3.32,8.00,4.45,3.14,4.73
incubator,1.00,2.44,4.65,6.00,3.90,3.33,5.35
incumbent,0.97,1.82,3.18,12.00,4.05,3.19,4.21
incur,0.97,1.81,2.00,12.00,4.80,4.00,5.04
incurable,0.98,2.05,1.88,6.00,1.90,4.90,2.80
indebted,0.98,1.92,2.18,6.00,3.21,4.25,3.20
indecent,0.99,2.18,1.86,6.00,4.52,5.40,4.43
indecision,0.98,1.90,1.62,6.00,3.85,4.10,4.00
indecisive,0.99,2.32,2.00,10.00,3.52,4.81,3.62
indefinite,1.00,2.44,1.36,8.00,4.55,4.80,4.23
independence,0.99,2.32,1.87,4.00,7.53,5.27,7.10
independent,0.99,2.30,2.04,6.00,6.86,6.75,7.36
indescribable,0.99,2.06,1.50,6.00,5.05,5.70,5.21
indestructible,0.99,2.25,2.46,8.00,5.95,4.32,5.63
indicate,1.00,2.58,2.39,6.00,5.05,3.32,5.75
indication,1.00,2.44,1.97,6.00,5.00,3.83,6.06
indicative,0.99,2.24,1.75,12.00,4.71,3.71,4.91
indicator,0.99,2.25,2.73,10.00,5.47,2.86,5.04
indict,0.90,1.25,2.60,12.00,3.67,3.76,4.78
indictment,0.94,1.50,2.74,8.00,3.89,5.25,4.17
indifference,1.00,2.58,1.85,12.00,4.35,3.61,5.64
indifferent,1.00,2.44,1.89,12.00,4.28,3.19,4.85
indigenous,0.99,2.11,2.24,13.00,4.75,4.22,4.96
indigent,0.88,1.17,1.79,14.00,4.70,4.19,4.61
indigestion,1.00,2.44,3.57,6.00,2.48,3.30,3.59
indignant,0.99,2.09,1.71,12.00,3.32,4.50,5.61
indignation,0.98,1.89,2.37,12.00,4.33,4.05,5.00
indignity,0.97,1.78,1.56,12.00,3.37,4.65,4.50
indirect,0.99,2.32,2.57,8.00,3.58,3.77,4.41
indiscreet,0.98,2.04,1.80,14.00,3.84,4.38,4.40
indiscretion,0.99,2.25,1.61,14.00,4.11,4.22,3.29
indispensable,0.99,2.12,2.07,10.00,6.37,4.15,5.75
indisposed,0.97,1.76,1.75,12.00,4.52,4.60,4.31
indistinct,0.98,1.90,1.68,8.00,4.32,4.39,4.21
individual,1.00,2.43,3.52,6.00,6.17,3.47,6.86
individuality,0.99,2.14,2.07,6.00,6.95,5.67,7.25
indivisible,0.98,2.05,2.26,10.00,5.38,4.10,4.95
indoor,1.00,2.43,3.64,4.00,6.29,2.86,6.54
induce,0.99,2.25,2.34,10.00,5.00,3.17,3.73
induction,1.00,2.43,2.62,10.00,5.32,4.09,4.91
indulge,0.99,2.18,2.56,12.00,6.33,5.20,5.50
indulgence,0.99,2.25,1.81,12.00,5.74,5.29,4.91
indulgent,0.99,2.26,1.55,14.00,4.86,4.68,5.85
industrial,1.00,2.44,3.00,4.00,4.65,4.72,5.08
industry,1.00,2.44,3.29,4.00,5.07,4.25,4.65
ineffective,0.99,2.23,1.57,6.00,3.11,3.75,3.55
ineffectual,0.96,1.71,2.12,12.00,3.79,3.50,4.21
inefficient,0.99,2.19,2.00,8.00,4.05,3.96,5.60
inept,0.99,2.12,1.74,13.00,4.10,4.20,4.23
inertia,0.96,1.69,2.43,12.00,5.35,5.32,4.05
inevitable,0.99,2.17,1.54,8.00,4.10,4.27,3.15
inexcusable,0.98,1.89,1.57,6.00,3.68,3.59,3.82
inexpensive,0.99,2.33,2.22,6.00,7.63,4.74,5.72
inexperienced,0.99,2.07,1.90,6.00,3.50,3.67,3.64
inexplicable,0.99,2.12,1.21,13.00,4.55,5.00,4.43
infallible,0.99,2.10,1.88,12.00,5.86,3.79,5.30
infamous,0.99,2.17,1.76,12.00,4.86,4.32,5.04
infamy,0.95,1.62,1.75,13.00,4.36,5.05,4.65
infant,0.99,2.26,4.93,6.00,6.65,4.10,5.26
infantile,0.98,1.89,2.52,8.00,4.30,3.60,3.77
infantry,0.97,1.88,4.00,6.00,3.70,4.05,4.67
infatuation,0.99,2.11,2.24,12.00,5.74,5.77,4.59
infect,0.98,2.05,2.88,6.00,2.84,4.00,3.70
infection,0.99,2.33,4.10,4.00,2.00,4.95,3.80
infectious,1.00,2.44,2.30,6.00,2.63,5.14,3.19
infer,0.98,1.95,2.15,13.00,4.79,3.82,4.95
inferior,1.00,2.58,1.70,8.00,3.43,4.55,3.35
inferiority,0.98,2.01,1.93,10.00,3.09,3.47,3.33
infernal,0.95,1.59,1.96,10.00,4.14,6.30,4.61
inferno,0.99,2.31,3.72,12.00,3.24,6.14,3.32
infidel,0.97,1.78,2.03,12.00,3.90,4.52,5.00
infidelity,1.00,2.33,2.07,13.00,2.10,5.70,3.86
infield,0.93,1.43,4.00,4.00,4.75,3.87,5.52
infiltrate,1.00,2.58,2.71,10.00,4.41,5.13,5.11
infinite,1.00,2.58,1.59,8.00,6.05,4.60,5.16
infirmary,0.98,1.95,4.55,10.00,3.52,4.13,4.25
inflammation,1.00,2.44,3.36,8.00,2.76,4.46,2.64
inflammatory,1.00,2.44,2.60,14.00,3.00,4.67,4.17
inflate,1.00,2.44,3.34,8.00,4.30,3.30,5.28
inflation,1.00,2.58,2.54,8.00,2.91,4.50,4.00
inflict,0.99,2.24,2.75,10.00,3.35,3.71,4.60
influence,0.99,2.23,2.11,6.00,5.53,4.30,5.96
influential,1.00,2.34,1.86,10.00,5.94,4.33,6.52
influenza,1.00,2.44,3.79,10.00,2.86,4.91,2.76
inform,1.00,2.34,2.25,6.00,5.18,3.33,6.40
informal,0.99,2.19,2.22,8.00,5.05,3.24,5.58
informant,1.00,2.33,3.27,10.00,4.50,4.30,4.79
information,0.99,2.32,2.87,6.00,6.33,2.30,5.39
informative,1.00,2.44,1.54,8.00,5.94,3.89,6.47
informer,0.99,2.19,3.15,10.00,4.25,4.81,5.71
infraction,0.97,1.88,2.50,12.00,3.86,5.05,4.10
infrared,0.97,1.86,3.34,10.00,4.39,4.41,5.25
infrastructure,0.99,2.13,3.38,12.00,5.14,4.16,5.33
ingenious,0.99,2.17,1.89,6.00,5.61,5.45,6.60
ingenuity,0.99,2.18,1.68,10.00,6.52,4.39,5.92
ingest,0.98,1.90,3.79,13.00,5.00,3.56,6.26
ingrate,0.84,1.00,2.38,13.00,3.50,4.47,3.38
ingredient,0.99,2.32,3.84,8.00,5.86,2.45,5.85
inhabit,0.99,2.22,3.21,8.00,5.38,3.65,5.45
inhabitant,0.99,2.20,3.32,8.00,5.11,3.57,5.69
inhale,1.00,2.44,3.84,6.00,5.36,4.43,5.89
inherent,0.99,2.23,1.64,14.00,5.95,3.71,5.68
inherit,0.99,2.12,2.04,6.00,7.11,4.35,4.76
inheritance,1.00,2.33,3.10,8.00,6.80,5.00,5.04
inhibition,0.99,2.06,1.93,12.00,3.95,4.29,4.48
inhospitable,0.97,1.80,1.92,8.00,2.65,4.36,3.35
inhuman,0.95,1.63,2.14,6.00,3.18,5.24,3.64
inhumane,0.98,2.06,2.11,8.00,3.10,5.43,3.36
initial,0.99,2.23,3.03,6.00,5.38,4.09,5.27
initiate,0.99,2.32,2.71,10.00,6.10,3.52,6.67
initiation,0.99,2.14,2.17,8.00,5.09,4.29,4.68
initiative,1.00,2.58,2.03,10.00,6.68,4.09,6.67
inject,0.99,2.26,4.28,8.00,3.32,4.14,4.74
injection,1.00,2.33,3.86,6.00,2.89,5.67,3.50
injunction,0.99,2.06,2.41,10.00,4.18,4.26,4.19
injure,0.97,1.76,3.48,4.00,3.74,5.90,4.22
injury,1.00,2.58,4.00,4.00,2.32,5.56,3.60
injustice,1.00,2.34,1.40,6.00,2.45,6.45,3.27
ink,0.99,2.11,4.56,2.00,5.65,3.73,6.32
inkling,0.97,1.79,2.25,10.00,5.63,3.90,4.71
inlet,0.95,1.60,4.08,4.00,5.57,2.75,4.75
inmate,0.99,2.31,4.19,8.00,2.67,4.73,3.00
inn,0.99,2.14,4.64,2.00,5.71,3.26,5.52
innate,0.97,1.88,1.73,14.00,5.14,2.95,5.07
inner,0.99,2.31,2.86,6.00,5.11,3.50,5.71
innermost,0.97,1.77,1.93,6.00,5.25,3.57,6.24
inning,0.96,1.66,3.25,6.00,5.14,3.40,5.79
innkeeper,0.98,1.99,4.00,4.00,5.06,3.05,5.50
innocence,0.99,2.10,1.89,6.00,6.73,3.65,6.38
innocent,1.00,2.45,1.54,4.00,6.55,4.40,5.92
innocuous,0.93,1.47,2.08,14.00,5.28,3.70,4.78
innovation,0.99,2.24,1.97,14.00,6.95,6.42,6.38
innuendo,0.98,1.97,1.88,12.00,4.65,4.68,5.63
input,1.00,2.33,2.50,8.00,5.05,3.00,6.17
inquire,0.99,2.07,2.38,8.00,5.32,3.73,6.25
inquiry,0.98,1.97,2.70,8.00,5.09,3.67,5.76
inquisitive,0.99,2.23,1.83,8.00,6.00,5.33,5.85
inquisitor,0.97,1.85,3.21,12.00,4.00,5.14,4.04
insane,0.99,2.26,1.77,4.00,2.55,5.14,3.74
insanity,1.00,2.36,2.34,8.00,2.70,7.79,4.12
insatiable,0.96,1.65,1.81,12.00,4.26,5.48,2.95
inscription,0.98,2.01,4.15,8.00,6.14,4.85,5.06
inscrutable,0.92,1.40,1.74,13.00,4.10,4.33,4.96
insect,1.00,2.43,4.89,2.00,4.43,4.67,4.79
insecticide,0.97,1.85,4.44,4.00,3.86,5.09,4.47
insecure,0.99,2.24,1.84,4.00,2.30,4.57,3.62
insensitive,1.00,2.58,1.66,8.00,3.55,4.32,4.48
inseparable,0.99,2.18,3.03,6.00,5.67,4.32,4.90
insert,0.99,2.20,2.57,6.00,5.10,3.68,5.85
insertion,1.00,2.34,2.56,8.00,4.47,5.05,5.18
insider,1.00,2.44,3.07,8.00,4.50,4.39,5.63
insidious,0.99,2.10,1.72,12.00,3.55,4.68,3.58
insight,0.99,2.19,1.72,10.00,6.76,3.96,6.30
insightful,1.00,2.58,1.77,12.00,5.43,4.27,6.85
insignia,0.98,1.99,4.27,8.00,5.57,2.83,5.44
insignificant,0.99,2.28,1.90,8.00,3.64,3.70,4.64
insinuate,0.97,1.86,1.77,8.00,4.09,5.22,5.84
insist,1.00,2.43,2.14,4.00,4.42,4.55,6.35
insistence,0.98,1.94,2.25,12.00,5.00,5.63,5.33
insistent,0.99,2.06,1.72,8.00,4.75,3.91,5.54
insolence,0.97,1.81,1.80,10.00,3.50,3.83,5.22
insomnia,1.00,2.58,2.68,8.00,2.67,4.91,2.92
inspect,0.99,2.06,3.31,4.00,5.26,4.05,4.78
inspection,1.00,2.58,3.12,2.00,4.32,4.05,4.48
inspector,1.00,2.58,4.62,6.00,4.33,3.61,5.89
inspiration,1.00,2.58,2.18,6.00,6.53,4.77,6.00
inspire,0.99,2.25,1.74,8.00,7.42,5.90,7.11
install,0.99,2.31,3.19,6.00,5.95,3.72,6.68
installation,1.00,2.58,3.71,10.00,5.06,3.42,5.75
installment,0.99,2.13,2.54,6.00,4.42,4.43,5.54
instant,1.00,2.34,2.70,4.00,5.84,4.33,6.22
instantaneous,0.99,2.17,2.28,8.00,5.16,4.72,5.96
instinct,1.00,2.44,2.00,8.00,5.67,4.44,6.26
instinctive,1.00,2.44,1.56,12.00,5.81,4.04,5.88
institute,1.00,2.44,3.41,6.00,4.95,3.50,5.11
institution,1.00,2.44,3.33,6.00,4.00,4.09,4.74
instruct,1.00,2.45,2.48,6.00,5.81,4.25,6.23
instruction,0.99,2.13,3.37,6.00,5.22,2.62,5.65
instructive,0.99,2.12,1.74,8.00,6.26,4.05,5.96
instructor,1.00,2.44,4.26,4.00,6.15,5.05,5.81
instrument,1.00,2.43,4.27,4.00,6.68,3.88,6.35
instrumental,0.99,2.24,2.89,6.00,6.76,3.92,6.68
insubordination,0.97,1.81,1.84,12.00,3.47,6.29,4.04
insufferable,0.99,2.18,1.54,10.00,3.85,3.65,3.38
insufficient,1.00,2.58,1.75,8.00,3.24,3.57,3.38
insulation,0.99,2.23,4.33,4.00,5.37,3.71,5.56
insulin,0.98,1.89,4.37,10.00,4.52,4.92,3.81
insult,1.00,2.43,2.79,4.00,2.62,5.30,3.96
insurance,1.00,2.58,2.86,4.00,3.76,3.80,5.84
insure,0.88,1.13,2.41,6.00,5.67,3.76,5.72
intact,0.99,2.19,2.64,12.00,6.00,3.18,7.30
intake,0.99,2.25,3.34,4.00,5.53,4.00,6.35
intangible,0.99,2.15,1.30,12.00,5.70,3.19,4.28
integral,0.99,2.25,2.03,13.00,5.19,3.65,6.11
integrate,0.99,2.23,2.08,8.00,5.78,3.37,5.08
integration,1.00,2.43,1.89,6.00,5.29,4.38,5.88
integrity,0.99,2.33,1.44,10.00,6.11,3.36,6.96
intellect,0.99,2.25,2.36,8.00,6.62,4.41,6.69
intellectual,1.00,2.43,1.81,10.00,7.65,4.53,6.56
intelligence,0.99,2.32,2.24,6.00,7.65,6.32,6.72
intelligent,1.00,2.58,2.46,6.00,7.60,5.67,6.77
intend,0.99,2.30,1.71,4.00,5.75,3.39,6.18
intense,1.00,2.35,2.41,10.00,5.65,6.60,5.57
intensity,1.00,2.44,2.14,8.00,5.19,7.05,5.34
intensive,1.00,2.58,2.33,10.00,4.25,4.38,5.90
intent,1.00,2.44,1.52,12.00,5.86,4.32,6.25
intention,0.99,2.33,1.70,6.00,5.58,3.91,6.81
intentional,1.00,2.43,2.10,6.00,5.37,3.89,6.00
interaction,1.00,2.44,2.74,13.00,5.62,4.35,5.06
intercede,0.96,1.71,2.07,13.00,5.24,4.04,5.38
intercept,1.00,2.33,3.18,8.00,4.64,4.59,5.10
interchangeable,0.99,2.11,2.03,8.00,5.37,3.77,5.75
intercom,0.99,2.08,4.67,6.00,5.26,2.86,5.52
intercourse,1.00,2.58,3.93,8.00,7.22,6.50,6.00
interest,0.99,2.25,1.80,4.00,6.66,4.36,6.31
interested,1.00,2.58,2.19,2.00,6.83,4.45,6.83
interesting,0.99,2.31,1.60,2.00,6.78,5.10,6.83
interfere,0.99,2.06,2.59,2.00,3.94,4.33,4.71
interference,0.98,2.01,2.93,4.00,4.71,3.84,4.11
interim,0.96,1.68,2.50,13.00,4.68,3.68,5.40
interior,1.00,2.44,3.59,6.00,5.79,3.86,5.54
interject,0.99,2.26,2.00,12.00,4.29,3.52,5.18
interlude,0.99,2.07,2.04,8.00,5.47,3.96,4.79
intermediate,0.99,2.33,1.93,8.00,5.05,3.28,4.94
intermission,0.99,2.32,2.85,4.00,5.20,5.00,5.38
intermittent,0.98,2.00,2.61,12.00,4.65,3.60,4.77
intern,0.99,2.24,3.86,10.00,5.14,3.62,5.55
internal,0.99,2.25,2.41,8.00,5.18,3.67,6.25
international,1.00,2.58,2.82,8.00,5.65,3.95,5.33
internship,1.00,2.42,3.00,10.00,5.90,6.25,5.11
interpret,0.99,2.32,2.34,8.00,5.20,4.43,5.24
interpretation,0.99,2.24,1.40,8.00,5.60,4.21,5.43
interpreter,0.99,2.12,3.67,8.00,5.80,3.14,5.74
interrogate,0.99,2.31,2.48,8.00,2.76,4.80,4.64
interrogation,0.99,2.24,3.33,8.00,2.21,5.41,2.92
interrupt,1.00,2.44,3.00,6.00,3.26,4.36,3.93
interruption,0.99,2.22,2.75,6.00,3.81,3.88,4.25
intersection,1.00,2.34,4.14,6.00,4.58,4.45,4.42
interstate,0.99,2.17,3.93,12.00,5.00,4.38,4.91
interstellar,0.92,1.35,2.63,10.00,5.95,4.95,5.33
interval,1.00,2.34,2.57,8.00,5.05,3.43,5.70
intervene,0.99,2.24,2.57,8.00,5.21,4.48,5.82
intervention,0.98,1.97,2.85,10.00,4.14,4.74,4.57
interview,1.00,2.33,3.36,6.00,4.68,6.35,6.84
intestinal,0.99,2.07,3.82,8.00,3.30,3.82,4.47
intestine,1.00,2.43,4.55,12.00,3.37,4.50,4.21
intimacy,0.99,2.19,1.96,10.00,7.00,6.00,6.59
intimate,1.00,2.33,2.07,10.00,7.22,6.02,6.29
intimidate,1.00,2.43,1.75,10.00,2.84,5.27,5.75
intolerable,1.00,2.36,1.93,8.00,3.14,5.41,4.15
intolerance,1.00,2.44,2.00,10.00,2.95,5.35,3.87
intolerant,1.00,2.35,2.14,10.00,3.43,4.05,4.74
intravenous,0.98,1.91,3.19,12.00,4.29,4.09,4.59
intrepid,0.97,1.77,1.93,14.00,5.37,3.95,5.50
intricate,0.98,1.92,2.36,10.00,5.11,4.48,5.13
intrigue,1.00,2.34,2.00,8.00,6.05,5.18,6.21
introduce,0.99,2.17,2.62,2.00,5.91,4.55,6.84
introduction,1.00,2.44,3.00,4.00,5.81,3.90,5.36
intrude,0.99,2.22,2.81,6.00,3.10,5.20,3.92
intruder,0.99,2.16,4.14,6.00,2.46,5.66,3.18
intrusion,0.99,2.25,2.25,8.00,3.37,4.90,2.75
intrusive,1.00,2.45,1.42,12.00,3.05,5.77,4.47
intuition,1.00,2.44,1.67,10.00,6.42,4.81,5.84
intuitive,0.99,2.25,1.23,13.00,6.00,4.28,6.29
invade,0.99,2.25,3.28,6.00,3.32,6.00,4.31
invader,0.99,2.18,4.11,6.00,2.23,5.67,3.50
invalid,1.00,2.43,2.48,8.00,3.52,3.70,5.10
invaluable,0.99,2.32,2.18,12.00,5.60,5.21,5.14
invasion,0.99,2.32,3.65,4.00,2.45,6.59,3.00
invent,1.00,2.42,2.66,2.00,6.64,6.16,6.90
invention,1.00,2.33,3.48,4.00,6.40,4.24,6.67
inventive,0.99,2.24,1.96,6.00,6.29,4.22,6.39
inventor,1.00,2.58,3.82,2.00,6.21,4.62,5.15
inventory,0.99,2.24,3.74,10.00,4.95,3.58,5.48
invest,1.00,2.43,2.47,4.00,6.16,3.95,5.94
investigate,1.00,2.42,2.27,6.00,5.68,4.09,5.43
investigation,1.00,2.43,2.52,6.00,4.36,5.70,6.11
investigator,1.00,2.33,4.37,4.00,4.95,4.35,4.79
investment,1.00,2.58,3.59,6.00,5.14,4.73,5.19
investor,1.00,2.33,4.30,6.00,5.42,3.39,5.76
invincible,0.99,2.22,1.86,12.00,6.32,5.30,6.60
invisible,1.00,2.58,2.83,4.00,5.00,3.95,4.27
invitation,1.00,2.44,3.65,4.00,7.05,4.94,6.43
invite,0.99,2.33,3.00,2.00,5.68,5.10,6.95
invoice,0.99,2.25,4.37,10.00,4.60,3.68,5.70
invoke,0.99,2.08,1.64,12.00,5.05,4.85,5.54
involuntary,0.99,2.15,1.70,8.00,4.05,3.75,4.13
involve,1.00,2.43,2.43,4.00,5.44,3.60,5.28
invulnerable,0.93,1.45,2.18,10.00,6.05,3.85,5.36
iodine,0.99,2.12,4.41,6.00,4.90,4.21,4.86
ion,0.98,1.90,3.00,10.00,5.10,4.19,5.16
irate,0.95,1.57,2.36,12.00,2.90,4.71,3.60
iris,1.00,2.44,4.54,6.00,6.85,4.20,6.24
iron,1.00,2.34,4.59,2.00,5.03,3.24,5.51
ironclad,0.94,1.55,2.59,10.00,5.14,3.77,6.09
irony,0.99,2.23,1.59,10.00,5.19,4.09,5.28
irrational,1.00,2.58,1.79,10.00,3.50,5.12,3.46
irregular,1.00,2.42,2.43,6.00,4.05,4.86,4.93
irrelevant,0.99,2.25,1.50,12.00,3.35,3.71,4.68
irreparable,0.96,1.65,2.22,12.00,4.05,5.05,3.50
irreplaceable,1.00,2.58,1.67,8.00,5.59,4.62,3.95
irresistible,0.99,2.13,2.00,6.00,6.58,5.71,4.68
irresponsible,0.99,2.33,2.04,6.00,2.50,5.00,3.91
irreversible,0.99,2.15,2.14,12.00,3.61,4.09,3.11
irrigate,0.99,2.09,3.53,6.00,5.23,3.77,5.60
irrigation,0.99,2.32,4.00,6.00,3.82,4.65,6.05
irritable,0.99,2.26,2.15,6.00,2.85,6.37,4.23
irritate,1.00,2.58,2.43,6.00,3.19,5.85,4.39
irritation,1.00,2.58,2.57,6.00,3.38,5.50,4.35
island,0.99,2.32,4.96,2.00,7.18,4.25,5.58
isle,0.97,1.87,3.89,6.00,6.05,3.24,4.70
isolate,0.98,2.00,2.67,8.00,4.35,4.60,4.38
isolation,0.99,2.18,2.54,6.00,3.77,3.00,4.52
isotope,0.96,1.70,3.50,10.00,5.35,2.73,5.19
issue,1.00,2.44,2.37,6.00,3.95,4.55,5.47
itch,1.00,2.58,3.15,2.00,3.11,5.00,3.86
itchy,0.99,2.33,3.21,4.00,2.53,4.90,3.00
item,1.00,2.44,4.41,6.00,5.29,2.90,5.50
itinerary,0.98,1.92,3.93,12.00,6.10,3.27,5.32
ivory,1.00,2.58,4.76,4.00,5.20,2.33,5.17
jab,0.98,2.01,4.11,6.00,3.81,4.85,5.42
jabber,0.94,1.55,2.67,6.00,4.38,3.78,4.95
jackal,0.96,1.68,4.39,6.00,4.65,4.58,4.57
jackass,0.99,2.18,3.66,2.00,4.05,6.57,4.59
jacket,0.99,2.26,4.86,2.00,5.86,3.35,6.89
jackpot,0.99,2.19,3.41,2.00,7.10,5.62,4.35
jade,1.00,2.43,4.38,8.00,6.25,3.43,5.37
jaded,0.99,2.09,2.07,12.00,3.62,3.79,5.65
jagged,0.99,2.16,3.74,4.00,3.95,6.05,4.48
jaguar,0.99,2.06,4.90,4.00,5.63,5.55,5.10
jail,1.00,2.43,4.83,2.00,1.91,4.47,3.91
jailbird,0.98,1.94,4.04,4.00,2.38,4.48,3.18
jailer,0.97,1.87,4.48,6.00,2.61,4.95,3.79
jam,0.99,2.32,4.71,2.00,5.81,3.95,5.89
jamboree,0.96,1.72,3.41,4.00,6.14,5.28,5.50
janitor,0.99,2.33,4.68,4.00,4.86,2.30,5.36
